libraryId,anatId,anatName,stageId,stage,sex,strain,platform
SRX5543763,UBERON:0002943,lingual gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543764,UBERON:0002740,posterior cingulate gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543765,UBERON:0002756,anterior cingulate gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543766,UBERON:0002336,corpus callosum,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543767,UBERON:0004703,dorsal thalamus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543768,UBERON:0001898,hypothalamus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543769,UBERON:0002581,postcentral gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543770,UBERON:0006094,superior parietal cortex,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543771,UBERON:0006094,superior parietal cortex,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543772,UBERON:0002913,intraparietal sulcus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543773,UBERON:0002661,superior frontal gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543774,UBERON:0002686,angular gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543775,UBERON:0026137,annectant gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543776,UBERON:0006092,cuneus cortex,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543785,UBERON:0001896,medulla oblongata,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543786,UBERON:0000988,pons,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543787,UBERON:0002129,cerebellar cortex,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543788,UBERON:0004720,cerebellar vermis,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543789,UBERON:0002691,ventral tegmental area,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543790,UBERON:0002038,substantia nigra,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543791,UBERON:0001891,midbrain,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543792,UBERON:0001876,amygdala,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543793,UBERON:0001873,caudate nucleus,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
SRX5543794,UBERON:0001874,putamen,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
SRX5543795,UBERON:0001875,globus pallidus,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
SRX5543796,UBERON:0000007,pituitary gland,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
SRX5543797,UBERON:0002264,olfactory bulb,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543798,UBERON:0002702,middle frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543799,UBERON:0002998,inferior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543800,UBERON:0002661,superior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543801,UBERON:0002756,anterior cingulate gyrus,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543802,UBERON:0002336,corpus callosum,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543803,UBERON:0004703,dorsal thalamus,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543804,UBERON:0001898,hypothalamus,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543805,UBERON:0001896,medulla oblongata,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543806,UBERON:0000988,pons,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543807,UBERON:0002129,cerebellar cortex,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543808,UBERON:0004720,cerebellar vermis,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543809,UBERON:0001885,dentate gyrus of hippocampal formation,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543810,UBERON:0003881,CA1 field of hippocampus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543811,UBERON:0003883,CA3 field of hippocampus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543812,UBERON:0001882,nucleus accumbens,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543813,UBERON:0001873,caudate nucleus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543814,UBERON:0001874,putamen,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543815,UBERON:0001875,globus pallidus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543816,UBERON:0000007,pituitary gland,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543817,UBERON:0002948,superior occipital gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543818,UBERON:0002948,superior occipital gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543819,UBERON:0014608,inferior occipital gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543820,UBERON:0002021,occipital lobe,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543821,UBERON:0002751,inferior temporal gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543822,UBERON:0002769,superior temporal gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543823,UBERON:0016538,temporal cortex,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543824,UBERON:0002421,hippocampal formation,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543825,UBERON:0002661,superior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543826,UBERON:0034671,arcuate sulcus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543827,UBERON:0000451,prefrontal cortex,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543828,UBERON:0002570,medial orbital gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543829,UBERON:0002022,insula,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543830,UBERON:0002703,precentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543831,UBERON:0002703,precentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543832,UBERON:0002581,postcentral gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543833,UBERON:0002022,insula,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543834,UBERON:0002703,precentral gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543835,UBERON:0002703,precentral gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543836,UBERON:0002581,postcentral gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543837,UBERON:0002581,postcentral gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543838,UBERON:0006094,superior parietal cortex,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543839,UBERON:0006094,superior parietal cortex,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543840,UBERON:0002913,intraparietal sulcus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543849,UBERON:0002691,ventral tegmental area,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543850,UBERON:0002038,substantia nigra,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543851,UBERON:0001891,midbrain,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543852,UBERON:0001876,amygdala,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543853,UBERON:0001885,dentate gyrus of hippocampal formation,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543854,UBERON:0003881,CA1 field of hippocampus,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543855,UBERON:0003883,CA3 field of hippocampus,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543856,UBERON:0001882,nucleus accumbens,MmulDv:0000025,5-year-old stage (macaque),female,NA,paired
SRX5543857,UBERON:0002766,fusiform gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543858,UBERON:0002973,parahippocampal gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543859,UBERON:0002943,lingual gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543860,UBERON:0002740,posterior cingulate gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543861,UBERON:0002756,anterior cingulate gyrus,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
SRX5543862,UBERON:0002336,corpus callosum,MmulDv:0000030,10-year-old stage (macaque),female,NA,paired
