libraryId,anatId,anatName,stageId,stage,sex,strain,platform
SRX10176180,UBERON:0002048,lung,UBERON:0007221,neonate stage,male,C57BL/6J,paired
SRX10176181,UBERON:0002048,lung,UBERON:0007221,neonate stage,male,C57BL/6J,paired
SRX10176182,UBERON:0002048,lung,MmusDv:0000115,5-day-old stage (mouse),male,C57BL/6J,paired
SRX10176183,UBERON:0002048,lung,MmusDv:0000121,11-day-old stage (mouse),male,C57BL/6J,paired
SRX10176184,UBERON:0002048,lung,MmusDv:0000141,2-week-old stage (mouse),male,C57BL/6J,paired
SRX10176185,UBERON:0002048,lung,MmusDv:0000149,4-week-old stage (mouse),male,C57BL/6J,paired
SRX10176186,UBERON:0002048,lung,MmusDv:0000154,8-week-old stage (mouse),male,C57BL/6J,paired
SRX10176187,UBERON:0002048,lung,MmusDv:0000159,13-week-old stage (mouse),male,C57BL/6J,paired
SRX10176188,UBERON:0002048,lung,MmusDv:0000159,13-week-old stage (mouse),male,C57BL/6J,paired
SRX10176189,UBERON:0002048,lung,MmusDv:0000166,20-week-old stage (mouse),male,C57BL/6J,paired
SRX10176190,UBERON:0002048,lung,MmusDv:0000078,7-month-old stage (mouse),male,C57BL/6J,paired
SRX10176191,UBERON:0002048,lung,MmusDv:0000080,9-month-old stage (mouse),male,C57BL/6J,paired
SRX10176192,UBERON:0002048,lung,MmusDv:0000125,21-month-old stage (mouse),male,C57BL/6J,paired
SRX10176193,UBERON:0002048,lung,MmusDv:0000125,21-month-old stage (mouse),male,C57BL/6J,paired
SRX10176194,UBERON:0002048,lung,MmusDv:0000133,29-month-old stage (mouse),male,C57BL/6J,paired
SRX10176195,UBERON:0002048,lung,MmusDv:0000133,29-month-old stage (mouse),male,C57BL/6J,paired
SRX10176196,UBERON:0002107,liver,UBERON:0007221,neonate stage,male,C57BL/6J,paired
SRX10176197,UBERON:0002107,liver,UBERON:0007221,neonate stage,male,C57BL/6J,paired
SRX10176198,UBERON:0002107,liver,MmusDv:0000115,5-day-old stage (mouse),male,C57BL/6J,paired
SRX10176199,UBERON:0002107,liver,MmusDv:0000121,11-day-old stage (mouse),male,C57BL/6J,paired
SRX10176200,UBERON:0002107,liver,MmusDv:0000141,2-week-old stage (mouse),male,C57BL/6J,paired
SRX10176201,UBERON:0002107,liver,MmusDv:0000149,4-week-old stage (mouse),male,C57BL/6J,paired
SRX10176202,UBERON:0002107,liver,MmusDv:0000154,8-week-old stage (mouse),male,C57BL/6J,paired
SRX10176203,UBERON:0002107,liver,MmusDv:0000159,13-week-old stage (mouse),male,C57BL/6J,paired
SRX10176204,UBERON:0002107,liver,MmusDv:0000159,13-week-old stage (mouse),male,C57BL/6J,paired
SRX10176205,UBERON:0002107,liver,MmusDv:0000166,20-week-old stage (mouse),male,C57BL/6J,paired
SRX10176206,UBERON:0002107,liver,MmusDv:0000078,7-month-old stage (mouse),male,C57BL/6J,paired
SRX10176207,UBERON:0002107,liver,MmusDv:0000080,9-month-old stage (mouse),male,C57BL/6J,paired
SRX10176208,UBERON:0002107,liver,MmusDv:0000125,21-month-old stage (mouse),male,C57BL/6J,paired
SRX10176209,UBERON:0002107,liver,MmusDv:0000125,21-month-old stage (mouse),male,C57BL/6J,paired
SRX10176210,UBERON:0002107,liver,MmusDv:0000133,29-month-old stage (mouse),male,C57BL/6J,paired
SRX10176211,UBERON:0002107,liver,MmusDv:0000133,29-month-old stage (mouse),male,C57BL/6J,paired
SRX10176212,UBERON:0001134,skeletal muscle tissue,UBERON:0007221,neonate stage,male,C57BL/6J,paired
SRX10176213,UBERON:0001134,skeletal muscle tissue,UBERON:0007221,neonate stage,male,C57BL/6J,paired
SRX10176214,UBERON:0001134,skeletal muscle tissue,MmusDv:0000115,5-day-old stage (mouse),male,C57BL/6J,paired
SRX10176215,UBERON:0001134,skeletal muscle tissue,MmusDv:0000121,11-day-old stage (mouse),male,C57BL/6J,paired
SRX10176216,UBERON:0001134,skeletal muscle tissue,MmusDv:0000141,2-week-old stage (mouse),male,C57BL/6J,paired
SRX10176217,UBERON:0001134,skeletal muscle tissue,MmusDv:0000149,4-week-old stage (mouse),male,C57BL/6J,paired
SRX10176218,UBERON:0001134,skeletal muscle tissue,MmusDv:0000154,8-week-old stage (mouse),male,C57BL/6J,paired
SRX10176219,UBERON:0001134,skeletal muscle tissue,MmusDv:0000159,13-week-old stage (mouse),male,C57BL/6J,paired
SRX10176220,UBERON:0001134,skeletal muscle tissue,MmusDv:0000159,13-week-old stage (mouse),male,C57BL/6J,paired
SRX10176221,UBERON:0001134,skeletal muscle tissue,MmusDv:0000166,20-week-old stage (mouse),male,C57BL/6J,paired
SRX10176222,UBERON:0001134,skeletal muscle tissue,MmusDv:0000078,7-month-old stage (mouse),male,C57BL/6J,paired
SRX10176223,UBERON:0001134,skeletal muscle tissue,MmusDv:0000080,9-month-old stage (mouse),male,C57BL/6J,paired
SRX10176224,UBERON:0001134,skeletal muscle tissue,MmusDv:0000125,21-month-old stage (mouse),male,C57BL/6J,paired
SRX10176225,UBERON:0001134,skeletal muscle tissue,MmusDv:0000125,21-month-old stage (mouse),male,C57BL/6J,paired
